"Visitor arrivals by country of residence and travel mode (Monthly)","","","","","","","","",""
"","Australia","China, People's Republic of","Japan","Korea, Republic of","Germany","United Kingdom","Canada","United States of America","TOTAL ALL COUNTRIES OF RESIDENCE"
" ","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES","TOTAL ALL TRAVEL MODES"
"1989M02",22509,270,9459,225,3303,10386,3699,16992,89451
"1989M03",26964,243,8982,261,2151,6984,2799,12087,78354
"1989M04",21537,243,7200,144,1350,4365,2295,12609,65079
"1989M05",17586,243,5148,162,873,3015,1575,7056,47862
"1989M06",23823,252,5643,144,531,2565,1116,8109,55107
"1989M07",23620,230,8050,170,1210,4170,1960,9250,63010
"1989M08",25542,154,7722,198,935,3916,1760,9548,64889
"1989M09",30954,165,8041,132,1320,3058,1661,10175,69817
"1989M10",22055,88,7766,275,2508,5830,2893,14234,74272
"1989M11",24950,240,9940,210,3350,7740,3890,13920,87350
"1989M12",50424,176,10406,385,3146,13387,3322,11605,126093
"1990M01",31008,72,9492,840,3132,10452,4776,11940,98232
"1990M02",25170,310,10560,600,4030,12090,3590,14500,93600
"1990M03",30790,240,10380,160,2480,7940,3430,14000,88120
"1990M04",28962,225,7146,207,2259,6831,2484,10863,78138
"1990M05",20232,171,5985,252,981,4644,1719,8325,55242
"1990M06",23067,252,6489,243,864,4374,1134,8028,57438
"1990M07",24827,165,10175,363,1034,4664,1826,9933,68288
"1990M08",26554,209,9636,385,1100,4059,1837,10087,69432
"1990M09",30150,230,8410,200,1620,3390,1730,9190,68030
"1990M10",26158,253,7821,374,3454,6435,2871,14773,80355
"1990M11",27599,451,9746,308,4675,8756,4554,15653,92631
"1990M12",47196,504,12000,252,4344,13620,4032,12372,126504
"1991M01",27564,216,10248,708,3720,10020,3888,11736,88584
"1991M02",28260,100,9270,280,4340,12870,3460,14220,94010
"1991M03",32730,230,8790,240,3780,8300,4010,13850,88410
"1991M04",22539,220,7689,286,1661,5500,1991,8261,62645
"1991M05",21120,160,6430,320,1440,4190,1510,7340,55230
"1991M06",22592,248,5984,944,640,4352,1368,9288,58256
"1991M07",26200,190,10760,530,1310,4750,1710,9830,69860
"1991M08",27610,231,10208,847,1122,3883,1320,9537,69399
"1991M09",30261,165,9361,363,1793,3333,1287,10582,70587
"1991M10",26972,242,9493,539,3333,7073,2640,13640,81389
"1991M11",28633,330,12397,616,5555,9405,3828,14674,98956
"1991M12",44028,264,14088,696,5604,14268,3264,9732,126144
"1992M01",28405,234,11817,1417,4771,11687,2444,9893,92612
"1992M02",30860,230,14030,1230,6710,15230,3850,15620,115790
"1992M03",31878,275,12969,902,4125,9229,3729,16313,98846
"1992M04",29670,260,8020,790,2980,7710,1790,9960,79520
"1992M05",22240,290,9180,800,2370,4680,1060,7420,61880
"1992M06",24030,200,7460,630,1390,4080,920,7250,58180
"1992M07",34243,385,10901,1221,1782,4686,1540,9504,80201
"1992M08",25729,209,12452,1408,1639,4444,1144,7194,70037
"1992M09",32544,312,9372,564,1944,3732,1248,6840,70704
"1992M10",27159,341,8701,1023,4290,6721,2112,13211,83699
"1992M11",28572,336,11088,1404,6912,9816,3048,15696,103356
"1992M12",48312,540,12972,1368,6792,14508,2964,12456,140856
"1993M01",29424,228,13224,3228,6024,12672,2880,11376,112104
"1993M02",29784,204,14484,2580,8760,13740,4056,17640,118848
"1993M03",30288,312,13224,1392,6396,10020,3216,15456,107172
"1993M04",31911,286,9295,1155,3245,5621,1914,10329,88308
"1993M05",20196,319,9042,2057,2145,4235,1474,9460,67639
"1993M06",24624,378,6192,1026,1287,5445,954,7767,62361
"1993M07",27830,451,11913,1771,2310,4840,1584,9944,79365
"1993M08",26818,572,11770,2343,1815,4675,1177,7909,74580
"1993M09",34848,288,10152,1320,2016,3948,1152,8484,78792
"1993M10",27672,408,9996,2460,6300,7800,2364,16164,99780
"1993M11",27196,351,12194,3458,8710,13325,3484,16887,116857
"1993M12",48384,504,14448,4550,7154,17066,3500,12180,151172
"1994M01",32438,294,15064,7336,8064,13846,3738,13832,124446
"1994M02",32244,372,15948,5364,9660,17244,3612,18444,140616
"1994M03",35321,494,14391,4862,6734,12675,3445,19266,129402
"1994M04",28032,420,10536,3420,3780,7152,2028,12552,96960
"1994M05",22116,540,9960,2988,2268,5184,1296,7272,73296
"1994M06",26530,520,5770,2760,1430,4370,940,9490,69990
"1994M07",29161,473,12771,4906,2035,5401,1771,12067,93401
"1994M08",28886,468,13299,6435,1716,5642,1508,9061,88296
"1994M09",39962,494,9399,3887,2340,5057,1378,8775,92183
"1994M10",30534,686,10934,4606,6216,9044,2478,15862,114632
"1994M11",29582,1036,13020,7714,8246,13622,3850,17472,131628
"1994M12",51255,690,17070,7305,6765,16830,3705,14400,167715
"1995M01",33488,560,14592,11904,7344,16368,3760,14160,137792
"1995M02",32415,750,15240,9450,8460,18750,3420,17580,144540
"1995M03",37620,585,13725,8850,6090,11070,3480,17040,132570
"1995M04",35412,715,9178,6422,3796,7969,1872,11596,110097
"1995M05",23749,682,9493,5379,2343,5379,1243,7403,80179
"1995M06",25454,737,8613,4565,1243,4378,1012,10241,73931
"1995M07",30927,624,13871,8099,1872,5811,2054,13013,102908
"1995M08",27790,714,15582,9058,1694,5992,1400,7602,92582
"1995M09",40425,585,10230,5700,2475,5670,1215,7200,95115
"1995M10",30045,840,10215,8985,5475,9585,2460,15120,116850
"1995M11",31380,990,12660,12585,7665,13875,3465,15360,135015
"1995M12",53952,1136,18144,13392,6480,17552,3696,15888,187216
"1996M01",34816,1411,16048,15181,6494,17017,3621,13872,145673
"1996M02",35856,784,17664,8752,8320,19376,3632,19600,160848
"1996M03",39520,832,16272,12544,5184,13472,3248,14928,141424
"1996M04",37335,1020,12180,7860,3315,9270,1995,11115,119220
